TimeStamp|Ticks|FrameNum|FPS|Robo|Xd|Yd|Xa|Ya|col|col|col|col|col|col|col|
20170115_120403|26148|29|7.14286||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120403|26241|30|10.6383||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120403|26335|31|10.8696||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120403|26473|32|7.0922||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120403|26573|33|10.6383||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120403|26663|34|10.5263||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120403|26757|35|10.5263||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120404|26854|36|10.8696||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120404|26990|37|7.14286||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120404|27130|38|7.19424||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120404|27229|39|10.3093||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120404|27368|40|7.19424||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120404|27509|41|7.0922||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120404|27656|42|7.14286||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120405|27788|43|7.14286||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120405|27886|44|10.5263||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120405|27976|45|11.236||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120405|28071|46|10.4167||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120405|28145|47|13.3333||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120405|28246|48|9.90099||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
